aah	[INTERJECTION] surprise, pleasure
condensed	made from thin liquid into thick
condenser	apparatus for making steam into water
condenser	electric apparatus for storing current
condenser	curved glass making rays come together
condenses	gets into smaller space
condenses	makes from thin liquid into thick
condensing	getting into smaller space
condensing	making from thin liquid into thick
condescend	come down to a lower level for persons
condescending	air of coming down of lower persons
condiment	strong-tasting substance put on food
condition	condition
conditional	with conditions
conditional	dependent (on)
conditionally	with conditions
conditionally	dependent (on)
conditioned	conditioned
conditioner	conditioner
conditioners	conditioners
conditioning	conditioning
conditions	conditions
condole	say kind words to person in trouble
condolence	kind words to person in trouble
condom	thin glove to keep from VD
condone	give support (to wrongdoing) by overlooking
condone	(of acts) have effect of balancing (error, etc.)
condoned	gave support (to wrongdoing) by overlooking
condones	gives support (to wrongdoing) by overlooking
condoning	giving support (to wrongdoing) by overlooking
conduce	effect
conduce	produce
conducive	effecting
conducive	producing
conducive	have tendency to give help in
conduct	acts
conduct	 behavior
conduct	control of business
conduct	guide
conduct	take
conduct	guide the playing of
conducted	guided
conducting	guiding
conduction	guide for (heat, etc.)
conductor	guide for the playing (of music)
conductor	thing that takes heat etc. from place to place
conductor	thing that will take heat away
conductor	ticket taker
conducts	takes away
conducts	be the guide for music
conduit	great pipe or other man-made waterway
conduit	pipe for electric wires
cone	pointed form
cone	solid form with flat round base sloping to a point top
cones	pointed forms
cones	solid forms with flat round base sloping to a point top
confection	sweet or cake
confectionary	sweets, cakes, etc.
confectioner	trader in sweets
confederate	united by agreement
confederate	one helping another (in crime)
confederate	get united as a group
confederation	united
confederation	group united by agreement
confer	give
confer	come together for discussion
conference	meeting
conference	meeting for discussion
conferences	meetings
conferences	meetings for discussion
conferencing	having meetings
confess	make statement about oneself
confessed	made statement about oneself
confesses	makes statement about oneself
confessing	making statement about oneself
confession	statement of wrongdoing
confession	make statement of wrongdoing
confide	give (secret to)
confide	put belief in
confidence	strong belief
confidence	belief in oneself
confidence	secret
confident	belief in oneself
confident	one given secrets
confidential	to be kept secret
confidentiality	secretly
confiding	open
confiding	giving secrets
configuration	form
configuration	form of a thing
configurations	forms
configure	give form
configured	gave form
configures	gives form
configuring	giving form
confine	limit
confine	keep shut up
confined	limited
confined	kept shut up
confinement	place with limits
confinement	to bed for giving birth
confines	limits
confines	limited space
confining	limiting
confining	keeping shut up
confirm	make certain
confirm	get fixed by signing
confirm	make more fixed in belief
confirmation	statement
confirmation	special form in church
confirmed	made certain
confirmed	put into orders for computer
confirming	making certain
confirming	[business]
confirms	makes certain
confirms	[business]
confiscate	(government) take (private property)
confiscate	take away by authority
confiscated	taken (by authority)
confiscation	taking away (by authority)
conflagration	great fire
conflict	a fight
conflict	fighting
conflict	against
conflict	opposite 
conflict	be out of harmony
conflicted	was out of harmony
conflicted	was opposite
conflicting	being out of harmony
conflicting	being opposite
conflicts	fights
conflicts	is opposite
conflicts	is out of harmony
conform	be in harmony
conform	make harmony
conformed	made in harmony
conformer	person who makes attempt for harmony
conforming	being in harmony
conforms	ins in harmony
confound	get ideas mixed up
confound	put at a loss
confounded	angry feeling against
confounds	gets ideas mixed up
confounds	puts at a loss
confront	put before
confront	come face-to-face
confrontation	face to face
confronted	put before
confronted	came face-to-face
confronter	person putting before
confronter	one coming face-to-face
confronting	putting before
confronting	coming face-to-face
confronts	puts before
confronts	comes face-to-face
confuse	make without order
confuse	get (person) mixed in his ideas
confused	without order
confused	mixed in one's head
confused	made without order
confused	got (person) mixed in his ideas
confuses	makes without order
confuses	gets (person) mixed in his ideas
confusing	making without order
confusing	getting (person) mixed in his ideas
confusion	without order
confusion	mixed in one's head
congeal	go solid
congealed	gone solid
congealing	going solid
congenial	in harmony
congest	cause not having enough space
congested	condition of not having enough space
congesting	causing to not have enough space between
congestion	not having enough space between
congestion	being over full
congests	causes to not have enough
conglomeration	mass
congratulate	say one is pleased (about some happy event)
congratulation	words saying on is pleased (about some happy event)
congratulations	words saying on is pleased (about some happy event)
congregate	come together in great numbers
congregation	persons in great number (of persons)
congress	great meeting
congress	meeting of representatives for discussion
congruent	same size and shape
congruent	such that one goes over another
conjecture	theory
conjecture	(give) view based on little facts
conjugal	as married
conjugate	give the forms
conjugate	word with root as another
conjugation	system of operation-word forms
conjunction	uniting
conjunction	connection
conjunction	word used for joining other words or statements
conjunctive	joining
conjuncture	position of things at a certain time
conjuncture	taking place together
conjure	do tricks
conn	give directions for moving of a ship
conn	place of directions on ship
connect	make connection
connected	made connection
connecter	connecter
connecters	connecters
connecting	making connection
connection	connection
connections	connections
connector	connector
connectors	connectors
